# lat,lng,id,name,building_type,type,url,page_type
# Subbiano -- Tutti
43.573296,11.870603,ov_ospedale_boschi_43.5733_11.8706,Ospedale Boschi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/ospedale_boschi_43.5733_11.8706.json,custom
43.585192,11.874141,ov_la_chiocciola_snc_43.5852_11.8741,La Chiocciola Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_chiocciola_snc_43.5852_11.8741.json,custom
43.574110,11.869431,ov_la_cantina_nel_borgo_43.5741_11.8694,La Cantina Nel Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_cantina_nel_borgo_43.5741_11.8694.json,custom
43.577757,11.870306,ov_il_matto_43.5778_11.8703,Il Matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/il_matto_43.5778_11.8703.json,custom
43.575830,11.869530,ov_pizzeria_diabolik_43.5758_11.8695,Pizzeria Diabolik,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/pizzeria_diabolik_43.5758_11.8695.json,custom
43.574756,11.869270,ov_la_colombaia___e_vento_43.5748_11.8693,La Colombaia - E.Vento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_colombaia_-_evento_43.5748_11.8693.json,custom
43.574449,11.870340,ov_la_corte_dell_oca_43.5744_11.8703,La Corte Dell'Oca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_corte_delloca_43.5744_11.8703.json,custom
43.574485,11.869524,ov_pazzi_di_pizza_s_r_l__43.5745_11.8695,Pazzi Di Pizza S.r.l.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/pazzi_di_pizza_srl_43.5745_11.8695.json,custom
43.565692,11.863400,ov_ristorante_meco_menchetti_point_43.5657_11.8634,Ristorante Meco Menchetti Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/ristorante_meco_menchetti_point_43.5657_11.8634.json,custom
43.565269,11.865438,ov_torre_santa_flora_43.5653_11.8654,Torre Santa Flora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/torre_santa_flora_43.5653_11.8654.json,custom
43.556775,11.848948,ov_mdl_srl___grandi_cucine_43.5568_11.8489,MDL srl - Grandi Cucine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/mdl_srl_-_grandi_cucine_43.5568_11.8489.json,custom
43.549307,11.928563,ov_osteria_nonna_lola_43.5493_11.9286,Osteria Nonna Lola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/osteria_nonna_lola_43.5493_11.9286.json,custom
43.541563,11.911133,ov_locanda_da_sancho_43.5416_11.9111,Locanda da Sancho,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/locanda_da_sancho_43.5416_11.9111.json,custom
43.589874,11.901092,ov_la_vecchia_scuola_43.5899_11.9011,La Vecchia Scuola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/la_vecchia_scuola_43.5899_11.9011.json,custom
43.606162,11.923713,ov_casa_al_taverni_43.6062_11.9237,Casa al taverni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/casa_al_taverni_43.6062_11.9237.json,custom
43.609960,11.883630,ov_i_ragazzi_di_vogognano_43.6100_11.8836,I ragazzi di Vogognano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/i_ragazzi_di_vogognano_43.6100_11.8836.json,custom
43.629405,11.854717,ov_borgo_marinaro___porto_recanati_43.6294_11.8547,"Borgo Marinaro , Porto Recanati",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/borgo_marinaro_porto_recanati_43.6294_11.8547.json,custom
43.628965,11.881950,ov_castello_di_valenzano_43.6290_11.8819,Castello Di Valenzano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/castello_di_valenzano_43.6290_11.8819.json,custom
43.574847,11.869887,osm_antico_pastificio_43.5748_11.8699,Antico pastificio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/antico_pastificio_43.5748_11.8699.json,custom
43.574490,11.869575,osm_pazzi_di_pizza_43.5745_11.8696,Pazzi di pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/pazzi_di_pizza_43.5745_11.8696.json,custom
43.578748,11.868911,osm_ristorante_al_nuraghe_43.5787_11.8689,Ristorante Al Nuraghe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/ristorante_al_nuraghe_43.5787_11.8689.json,custom
43.571941,11.870843,ov_bar_galliano_43.5719_11.8708,Bar Galliano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/bar_galliano_43.5719_11.8708.json,custom
43.573065,11.868826,ov_al_barrino_subbiano_43.5731_11.8688,Al Barrino subbiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/al_barrino_subbiano_43.5731_11.8688.json,custom
43.573100,11.868947,ov_baraonda_43.5731_11.8689,BarAonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/baraonda_43.5731_11.8689.json,custom
43.573685,11.869448,ov_bar_celli_43.5737_11.8694,Bar Celli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/bar_celli_43.5737_11.8694.json,custom
43.573740,11.866665,ov_bar_luca_43.5737_11.8667,Bar Luca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/bar_luca_43.5737_11.8667.json,custom
43.575035,11.870094,ov_bar_carducci_43.5750_11.8701,Bar Carducci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/bar_carducci_43.5750_11.8701.json,custom
43.548050,11.925710,ov_circolo_del_chiaveretto_43.5481_11.9257,Circolo del Chiaveretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/circolo_del_chiaveretto_43.5481_11.9257.json,custom
43.573666,11.869427,osm_bar_celli_pasticceria_43.5737_11.8694,Bar Celli Pasticceria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/bar_celli_pasticceria_43.5737_11.8694.json,custom
43.580391,11.953125,ov_centro_ricreativo_a__mastrotto_43.5804_11.9531,Centro Ricreativo A. Mastrotto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/centro_ricreativo_a_mastrotto_43.5804_11.9531.json,custom
43.583473,11.871875,ov_fit_and_fight_subbiano_43.5835_11.8719,Fit and Fight Subbiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/fit_and_fight_subbiano_43.5835_11.8719.json,custom
43.582815,11.871148,ov_team_jakini_kick_boxing_43.5828_11.8711,Team Jakini Kick Boxing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/team_jakini_kick_boxing_43.5828_11.8711.json,custom
43.574557,11.870544,ov_olympic_inn_di_vignoli_lodovico_43.5746_11.8705,Olympic Inn di Vignoli Lodovico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/olympic_inn_di_vignoli_lodovico_43.5746_11.8705.json,custom
43.574033,11.872870,ov_asd_studio_82_fitness___pilates_43.5740_11.8729,Asd Studio 82 Fitness & Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/asd_studio_82_fitness_pilates_43.5740_11.8729.json,custom
43.574875,11.869074,ov_castello_di_subbiano_43.5749_11.8691,Castello di Subbiano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/castello_di_subbiano_43.5749_11.8691.json,custom
43.572231,11.870249,osm_biblioteca_comunale_orfeo_necci_43.5722_11.8702,Biblioteca comunale Orfeo Necci,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/subbiano/pages/biblioteca_comunale_orfeo_necci_43.5722_11.8702.json,custom
